Sensor: LSM6DSL Accelerometer
Vendor: STM
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
474004187780028;0.6440;8.3641;2.6755;
474004207714648;0.2466;10.4926;0.2502;
474004227685285;-0.1030;10.8362;0.4968;
474004247670834;0.1353;9.2105;1.9716;
474004267668013;-0.2358;9.1195;1.4437;
474004287663083;0.1305;10.3537;-0.0012;
474004307685041;0.5471;9.7336;0.3484;
474004327675905;0.5997;9.1901;1.7430;
474004347675202;-0.2897;9.6905;1.1073;
474004367712408;-0.2562;10.6434;0.7925;
474004387696761;0.4501;10.0485;0.1305;
474004407677572;0.3412;9.6103;0.0754;
474004427671305;0.0359;9.3925;1.5455;
474004447667537;0.1233;9.8366;-0.1748;
474004467667268;0.3508;10.2915;0.1975;
474004487668018;0.0718;9.9132;-0.2143;
474004507669605;-0.1556;9.9958;0.8751;
474004527672456;0.4597;9.7121;0.6764;
474004547672747;0.5112;9.4822;-0.4369;
474004567671585;-0.0874;10.0221;1.0475;
474004587672273;-0.4106;10.0221;-0.4106;
474004607674848;0.5555;9.8641;-1.5143;
474004627669885;0.3879;9.5253;0.8200;
474004647663250;-0.1832;9.5648;0.4776;
474004667660817;-0.0958;9.8342;-1.9321;
474004687663735;0.2945;10.2053;-0.4022;
474004707662771;0.5662;9.4978;-1.1396;
474004733346654;0.2286;9.6283;-2.3008;
474004767660461;0.1520;9.9168;-0.9038;
474004787731653;1.0427;9.3338;-2.5845;
474004807739153;0.6740;9.7803;-0.3124;
474004827631730;-0.0060;10.2137;0.0383;
474004847644153;0.6919;9.6271;-2.9042;
474004867635615;1.3408;9.5002;-1.7095;
474004887685499;0.6069;10.0676;0.4190;
474004907641422;0.1915;9.8497;-2.3068;
474004927667499;0.5040;9.8078;-1.4389;
474004947661115;0.8380;9.7959;-0.3053;
474004967672807;0.6464;10.0987;-0.6979;
474004987672653;0.3352;9.6175;-1.2498;
474005007675961;0.5459;9.5768;0.0491;
474005027670191;0.9074;9.7336;-0.9840;
474005047686268;-0.0096;9.5265;0.5435;
474005067664922;-0.5950;9.4894;0.2179;
474005087663807;0.7721;10.0137;-0.7685;
474005107679961;0.4046;10.1478;0.3675;
474005127668922;-0.1245;10.1179;-0.1879;
474005147731307;-0.0215;9.6953;-1.1301;
474005167731653;0.3304;9.9000;-0.1365;
474005187675576;0.8056;10.3094;-0.3531;
474005207731345;0.4465;9.8485;-1.6412;
474005227734614;0.9960;9.9431;-1.5850;
474005247739999;1.2115;10.3669;-0.4824;
474005267726230;0.2047;10.0293;0.7015;
474005287732922;0.6261;9.7408;-0.8164;
474005307735730;1.1588;9.9120;-0.2610;
474005327734691;1.1803;10.3573;0.5698;
474005347732576;0.7877;9.7624;-0.9014;
474005367771614;0.9888;9.4655;-1.1468;
474005387731345;1.1708;9.6127;0.8152;
474005407734614;1.6688;9.9491;-0.4800;
474005427752960;1.2749;9.6355;-2.5690;
474005447737922;0.7338;9.4403;-0.0239;
474005467750691;1.4736;9.3470;-1.3084;
474005487724691;1.2282;9.8294;0.6548;
474005507723653;0.5710;9.6546;-1.0870;
474005527726230;1.0151;9.4535;-2.1153;
474005547737730;1.3240;9.9096;-0.1197;
474005567732153;1.4234;10.2065;0.5243;
474005587731153;1.5790;9.5624;-0.8727;
474005607730922;1.1480;9.9024;-2.0530;
474005627767460;1.2175;10.3130;-0.1628;
474005647652537;1.6352;10.3537;0.5088;
474005667733537;1.7992;9.7217;-0.3759;
474005687735114;1.2318;9.7528;-1.8783;
474005707731229;1.4425;10.1694;-1.3336;
474005727728229;1.6436;9.8809;-1.3384;
474005748971999;2.0291;9.5864;-0.1173;
474005767660191;1.2498;10.0509;0.7973;
474005787664883;1.8148;10.3729;0.0467;
474005807653345;2.1536;10.0461;-1.1971;
474005827651768;1.4820;9.2308;-0.9972;
474005847655114;0.8068;9.1399;0.5782;
474005867650999;1.9680;9.9180;1.1516;
474005887652883;2.6588;10.2352;0.0658;
474005907652614;2.0135;9.7971;-1.3874;
474005927676268;2.0099;9.6379;-1.3551;
474005947682191;2.1512;9.8857;-0.5112;
474005967687691;2.4840;10.1825;-1.2713;
474005987747229;1.7178;9.7552;-0.3699;
474006007675768;2.2110;9.9048;0.6931;
474006027690806;2.4636;10.1837;0.5902;
474006047654691;2.5881;10.1035;-0.3448;
474006067681883;2.0674;9.5062;-0.5519;
474006087679114;2.3427;9.6881;-0.9026;
474006107674998;3.0598;9.9982;-0.3555;
474006127679152;2.3080;9.6510;0.8667;
474006147674921;1.9082;9.3805;1.8316;
474006167754768;1.8747;9.7803;0.7769;
474006187756883;3.0574;10.3034;-0.6333;
474006207756960;2.5690;9.8114;0.9840;
474006227765344;2.5355;9.6618;0.1329;
474006247664383;2.7426;9.7229;-0.3436;
474006267754306;2.2553;9.9276;-0.5028;
474006287744883;2.1296;9.7252;-0.1030;
474006307750267;2.6193;9.4798;0.4130;
474006327668575;2.6001;9.3506;0.7195;
474006347751498;2.2410;9.4403;0.5770;
474006367763421;1.9213;9.7683;0.9613;
474006387747152;2.6588;10.3106;0.2059;
474006407757690;3.6452;10.2340;-0.9972;
474006427762114;2.6959;8.9950;-0.7111;
474006447663537;1.8675;8.8729;0.3256;
474006467691537;2.7916;10.9666;0.1544;
474006487747267;2.4828;10.2520;-0.3998;
474006507680306;2.9221;8.8873;0.6045;
474006527745767;3.4752;9.2356;1.2857;
474006548164844;3.2022;10.7667;1.1432;
474006567746806;2.2613;10.8481;1.1720;
474006587682575;2.3858;9.9431;1.1468;
474006607680460;3.4524;9.5708;0.7542;
