TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
1028329388130404;1605969038000;48.799495862854;9.228413868434;282.7094;0.0000;-3000.0000;4.00000000;3.00000000;0.13122821;-1.00000000;
1028330395616634;1605969039000;48.799495862854;9.228413868434;282.6482;0.0000;-3000.0000;4.00000000;3.00000000;0.13399595;-1.00000000;
1028331418477595;1605969040000;48.799495862854;9.228413868434;282.5205;0.0000;-3000.0000;4.00000000;3.00000000;0.13286729;-1.00000000;
1028332378667518;1605969041000;48.799495862854;9.228413868434;282.4363;0.0000;-3000.0000;4.00000000;3.00000000;0.13165517;-1.00000000;
1028333393773401;1605969042000;48.799495862854;9.228413868434;282.5164;0.0000;-3000.0000;4.00000000;3.00000000;0.12896582;-1.00000000;
1028334374627439;1605969043000;48.799495862854;9.228413868434;282.5283;0.0000;-3000.0000;4.00000000;3.00000000;0.12867470;-1.00000000;
1028335399872246;1605969044000;48.799495862854;9.228413868434;282.4212;0.0000;-3000.0000;4.00000000;3.00000000;0.13066523;-1.00000000;
1028336413324476;1605969045000;48.799495862854;9.228413868434;282.4065;0.0000;-3000.0000;4.00000000;3.00000000;0.13240544;-1.00000000;
1028337414528129;1605969046000;48.799495862854;9.228413868434;282.3438;0.0000;-3000.0000;4.00000000;3.00000000;0.13204244;-1.00000000;
1028338388027629;1605969047000;48.799495862854;9.228413868434;282.3552;0.0000;-3000.0000;4.00000000;3.00000000;0.13035300;-1.00000000;
1028339410078320;1605969048000;48.799495862854;9.228413868434;282.2368;0.0000;-3000.0000;4.00000000;3.01074290;0.13012518;-1.00000000;
1028340403105512;1605969049000;48.799495862854;9.228413868434;282.1531;0.0000;-3000.0000;4.00000000;3.02111149;0.12875724;-1.00000000;
1028341373068934;1605969050000;48.799495862854;9.228413868434;282.0743;0.0000;-3000.0000;4.00000000;3.03150845;0.12642570;-1.00000000;
1028342420901280;1605969051000;48.799495862854;9.228413868434;282.0290;0.0000;-3000.0000;4.00000000;3.04148197;0.12730494;-1.00000000;
1028343457286279;1605969052000;48.799495862854;9.228413868434;282.0029;0.0000;-3000.0000;4.00000000;3.05132151;0.12817073;-1.00000000;
1028344373345855;1605969053000;48.799495862854;9.228413868434;281.9765;0.0000;-3000.0000;4.00000000;3.05518866;0.12906115;-1.00000000;
1028345407748354;1605969054000;48.799495862854;9.228413868434;281.9612;0.0000;-3000.0000;4.00000000;3.05835295;0.12958919;-1.00000000;
1028346394027854;1605969055000;48.799495862854;9.228413868434;281.9570;0.0000;-3000.0000;4.00000000;3.06094885;0.12884109;-1.00000000;
1028347401168853;1605969056000;48.799495862854;9.228413868434;281.9356;0.0000;-3000.0000;4.00000000;3.06308126;0.12902698;-1.00000000;
1028348393240621;1605969057000;48.799495862854;9.228413868434;281.8829;0.0000;-3000.0000;4.00000000;3.06434131;0.12741612;-1.00000000;
1028349386986928;1605969058000;48.799495862854;9.228413868434;281.9643;0.0000;-3000.0000;4.00000000;3.06441736;0.12899014;-1.00000000;
1028350382639966;1605969059000;48.799495862854;9.228413868434;281.9805;0.0000;-3000.0000;4.00000000;3.06362081;0.12700500;-1.00000000;
1028351392631889;1605969060000;48.799495862854;9.228413868434;282.0088;0.0000;-3000.0000;4.00000000;3.06279850;0.12701975;-1.00000000;
1028352392207080;1605969061000;48.799495862854;9.228413868434;282.0157;0.0000;-3000.0000;4.00000000;3.06262183;0.13089620;-1.00000000;
1028353383547733;1605969062000;48.799495862854;9.228413868434;281.9963;0.0000;-3000.0000;4.00000000;3.06163645;0.12623689;-1.00000000;
1028354415383386;1605969063000;48.799495862854;9.228413868434;282.0853;0.0000;-3000.0000;4.00000000;3.06209111;0.12305147;-1.00000000;
1028355403439347;1605969064000;48.799495862854;9.228413868434;282.0282;0.0000;-3000.0000;4.00000000;3.06276822;0.12538341;-1.00000000;
1028356400867539;1605969065000;48.799495862854;9.228413868434;282.1264;0.0000;-3000.0000;4.00000000;3.05890083;0.12551963;-1.00000000;
1028357388462807;1605969066000;48.799495862854;9.228413868434;282.2044;0.0000;-3000.0000;4.00000000;3.05925655;0.12486795;-1.00000000;
1028358387001076;1605969067000;48.799495862854;9.228413868434;282.2709;0.0000;-3000.0000;4.00000000;3.06088901;0.12437847;-1.00000000;
1028359394026421;1605969068000;48.799495862854;9.228413868434;282.2711;0.0000;-3000.0000;4.00000000;3.06967711;0.12449334;-1.00000000;
